"rgn_typ","ant_typ","rgn_id","ant_id","rgn_nam","rgn_key","are_km2"
"eez","eez","48","48","Oman","OMN",538980.214535
"land","land","48","48","Oman","OMN",310120.720316
"eez","eez","49","49","Sudan","SDN",66785.6409954
"land","land","49","49","Sudan","SDN",2502137.41992
"eez","eez","5","5","New Caledonia","NCL",1371802.95112
"land","land","5","5","New Caledonia","NCL",19140.9361804
"eez","eez","50","50","Saudi Arabia","SAU",220338.225317
"land","land","50","50","Saudi Arabia","SAU",1934665.88922
"eez","eez","51","51","Kuwait","KWT",11895.8073818
"land","land","51","51","Kuwait","KWT",17420.4674302
"eez","eez","52","52","Bahrain","BHR",7632.7802077
"land","land","52","52","Bahrain","BHR",686.854740756
"eez","eez","53","53","Pakistan","PAK",222743.962262
"land","land","53","53","Pakistan","PAK",879209.441849
"eez","eez","54","54","United Arab Emirates","ARE",54711.0349269
"land","land","54","54","United Arab Emirates","ARE",71329.4441078
"eez","eez","55","55","Azores","PRT",957293.560796
"land","land","55","55","Azores","PRT",2399.49462313
"eez","eez","56","56","Cape Verde","CPV",801065.130069
"land","land","56","56","Cape Verde","CPV",4148.9961715
"eez","eez","57","57","Madeira","PRT",455144.480941
"land","land","57","57","Madeira","PRT",819.784765485
"eez","eez","58","58","Canary Islands","ESP",450010.12333
"land","land","58","58","Canary Islands","ESP",7534.77681633
"eez","eez","59","59","Belgium","BEL",3465.16865703
"land","land","59","59","Belgium","BEL",30597.299248
"eez","eez","6","6","Vanuatu","VUT",622073.303628
"land","land","6","6","Vanuatu","VUT",12575.1465513
"eez","eez","60","60","Gibraltar","GIB",426.743017775
"land","land","60","60","Gibraltar","GIB",7.64519428484
"eez","eez","61","61","Tunisia","TUN",100660.476623
"land","land","61","61","Tunisia","TUN",156400.598364
"eez","eez","62","62","Morocco","MAR",276136.420221
"land","land","62","62","Morocco","MAR",404441.966558
"eez","eez","63","63","Western Sahara","ESH",252024.28218
"land","land","63","63","Western Sahara","ESH",270512.957201
"eez","eez","64","64","Mauritania","MRT",156197.883429
"land","land","64","64","Mauritania","MRT",1043907.82129
"eez","eez","65","65","Gambia","GMB",22745.5191464
"land","land","65","65","Gambia","GMB",10862.4986305
"eez","eez","66","66","Senegal","SEN",158426.406316
"land","land","66","66","Senegal","SEN",197442.455454
"eez","eez","67","67","Libya","LBY",357895.373458
