"MRGID","MRGID_SOV1","TERRITORY1","ISO_TER1","SOVEREIGN1","ISO_SOV1","GEONAME"
48950,2121,"Kuril Islands",NA,"Japan","JPN","Overlapping claim Kuril Islands: Japan / Russia"
8333,2128,"Andaman and Nicobar",NA,"India","IND","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)"
8359,2250,"Pakistan","PAK","Pakistan","PAK","Pakistani Exclusive Economic Zone"
26523,2212,"Turkmenistan","TKM","Turkmenistan","TKM","Turkmen Exclusive Economic Zone"
26524,2134,"Azerbaijan","AZE","Azerbaijan","AZE","Azerbaijani Exclusive Economic Zone"
26522,2119,"Kazakhstan","KAZ","Kazakhstan","KAZ","Kazakh Exclusive Economic Zone"
8482,2219,"Myanmar","MMR","Myanmar","MMR","Myanma Exclusive Economic Zone"
5687,2244,"Poland","POL","Poland","POL","Polish Exclusive Economic Zone"
8480,2128,"India","IND","India","IND","Indian Exclusive Economic Zone"
26582,2183,"Halaib Triangle",NA,"Sudan","SDN","Overlapping claim Halaib Triangle: Sudan / Egypt"
8393,2139,"Benin","BEN","Benin","BEN","Beninese Exclusive Economic Zone"
5692,2188,"Slovenia","SVN","Slovenia","SVN","Slovenian Exclusive Economic Zone"
8483,2230,"Malaysia","MYS","Malaysia","MYS","Malaysian Exclusive Economic Zone"
49003,8603,"China","CHN","China","CHN","Overlapping claim: South China Sea"
50167,2160,"Croatia","HRV","Croatia","HRV","Joint regime area: Croatia / Slovenia"
8327,8600,"South Korea","KOR","South Korea","KOR","South Korean Exclusive Economic Zone"
48955,2121,"Liancourt Rocks",NA,"Japan","JPN","Overlapping claim Liancourt Rocks: Japan / South Korea"
50170,8468,"Qatar","QAT","Qatar","QAT","Overlapping claim: Qatar / Saudi Arabia / United Arab Emirates"
8455,2227,"New Zealand","NZL","New Zealand","NZL","New Zealand Exclusive Economic Zone"
8442,2204,"Jarvis Island","UMI","United States","USA","United States Exclusive Economic Zone (Jarvis Islands)"
8326,2210,"Tuvalu","TUV","Tuvalu","TUV","Tuvaluan Exclusive Economic Zone"
8454,17,"Wallis and Futuna","WLF","France","FRA","French Exclusive Economic Zone (Wallis and Futuna)"
8451,2204,"Howland and Baker Islands","UMI","United States","USA","United States Exclusive Economic Zone (Howland and Baker Islands)"
8325,2108,"Fiji","FJI","Fiji","FJI","Fijian Exclusive Economic Zone"
8464,2143,"Brazil","BRA","Brazil","BRA","Brazilian Exclusive Economic Zone"
8441,2116,"Line Group","KIR","Kiribati","KIR","Kiribati Exclusive Economic Zone (Line Group)"
