"nearest_seamount_id","nearest_seamount_distance_m","pixel_id"
5468712,1527375.35474926,330
5468712,1513316.38428468,331
5468712,1499791.32809379,332
5468712,1486814.75676632,333
5468712,1474401.15242857,334
5468712,1462564.84979613,335
5468712,1451319.97356459,336
1143146,178822.956241103,337
1143146,179657.050248501,338
1143146,186680.287148922,339
1143146,199239.231570597,340
1143146,216372.089384252,341
1143146,237089.34732079,342
1143146,260537.337136765,343
1143146,286045.306468154,344
1143146,313110.201915287,345
1143146,341361.901235664,346
1143146,370529.033366957,347
1143146,400411.599983446,348
1143146,430860.76882861,349
1143146,461764.466704277,350
1143146,493037.231034952,351
1143146,524613.064594633,352
1143146,556440.375764516,353
1143146,588478.363153112,354
1143146,620694.404597465,355
1143146,653062.150012283,356
1143146,685560.112272845,357
1143146,718170.614256302,358
1143146,750878.993382965,359
1127503,747570.689038168,360
1127503,731106.90933851,361
1127503,715853.727053817,362
1127503,701890.071216288,363
1127503,689294.315577893,364
1127503,678142.686154479,365
1127503,668507.456923595,366
1127503,660454.998482803,367
1127503,654043.773734004,368
5470229,1281029.21251702,369
5470229,1278422.33035496,370
5481449,1267037.16568789,371
5481449,1252392.23199664,372
5481449,1238492.34724219,373
5481449,1225362.86604019,374
5481449,1213028.80454004,375
5481449,1201514.65896104,376
5481449,1190844.21257926,377
5481449,1181040.33354055,378
5481449,1172124.76645897,379
5481449,1164117.92131391,380
5481449,1157038.66365078,381
5481449,1150904.11048104,382
5481449,1145729.43653481,383
5481449,1141527.69560944,384
5481449,1138309.66165858,385
5481449,1136083.69396271,386
5481449,1134855.63021535,387
5481449,1134628.71066081,388
5481449,1135403.53555949,389
5481449,1137178.05727466,390
5481449,1139947.60722316,391
5481449,1143704.9568667,392
5481449,1148440.41090077,393
5481449,1154141.92987658,394
5481449,1160795.278716,395
5481449,1168384.1969833,396
5481449,1176890.58638095,397
5481449,1186294.71074633,398
5481449,1196575.40383301,399
5481449,1207710.28034558,400
5481449,1219675.94603136,401
5508165,1226358.5348432,402
5508165,1199534.03205307,403
5508165,1173065.38607405,404
5508165,1146977.2333562,405
5508165,1121296.13196098,406
5508165,1096050.69460527,407
5508165,1071271.72212262,408
5508165,1046992.33424857,409
5508165,1023248.09367611,410
5508165,1000077.11819096,411
5508165,977520.174383789,412
5508165,955620.744964399,413
5508165,934425.060112441,414
5508165,913982.081666154,415
5508165,894343.427397035,416
5508165,875563.22132133,417
5508165,857697.855199439,418
5508165,840805.64637595,419
5508165,824946.378271015,420
5508165,810180.712525345,421
5508359,796263.203575814,422
5453809,1485621.90029853,423
5453809,1485374.39030756,424
5453809,1485892.18855114,425
5468712,1470212.18094306,426
5468712,1454579.41197992,427
5468712,1439566.78983616,428
5468712,1425193.91204262,429
5468712,1411480.32197702,430
5468712,1398445.41531451,431
5468712,1386108.33912101,432
5468712,1374487.88420571,433
5468712,1363602.37157193,434
5468712,1353469.53403677,435
5468712,1344106.3943214,436
5468712,1335529.14113712,437
5468712,1327753.00499681,438
5468712,1320792.1356559,439
5468712,1314659.48322132,440
5468712,1309366.68504962,441
5468712,1304923.96057883,442
5468712,1301340.01619426,443
5528688,328125.367986147,444
5528688,300925.78932314,445
5528688,275689.123018825,446
5528688,253003.444105895,447
5532313,231362.354823801,448
5532313,201323.802505894,449
5532313,173470.735251439,450
5532313,149033.576181141,451
5532313,129953.860956225,452
5532313,118840.621981478,453
1143146,112542.698824691,454
1143146,111253.640649646,455
1143146,121024.684937748,456
1143146,139551.655232696,457
1143146,163891.558353426,458
1143146,191844.493348823,459
1143146,222050.139978435,460
1143146,253705.159600754,461
1143146,286329.250442685,462
1143146,319625.811876199,463
1143146,353404.821533879,464
1143146,387540.145606478,465
1143146,421945.315577045,466
1143146,456559.330783589,467
1143146,491338.054725187,468
1143146,526248.832610699,469
5468390,1231822.65312971,470
5468390,1233204.1081886,471
5470229,1233136.11746207,472
5470229,1226421.54655557,473
5470229,1220718.24096697,474
5470229,1216040.42947209,475
5470229,1212399.98214254,476
5470229,1209806.26366177,477
5481449,1199962.75123361,478
5481449,1184002.7994664,479
5481449,1168919.47637459,480
5481449,1154747.13407691,481
5481449,1141519.70345556,482
5481449,1129270.3889694,483
5481449,1118031.34022995,484
5481449,1107833.30532038,485
5481449,1098705.27227514,486
5481449,1090674.10649594,487
5481449,1083764.19305294,488
5481449,1077997.09369463,489
5481449,1073391.22885921,490
5481449,1069961.59495429,491
5481449,1067719.52659385,492
5481449,1066672.51233444,493
5481449,1066824.07077146,494
5481449,1068173.69172449,495
5481449,1070716.84478889,496
5481449,1074445.05492113,497
5481449,1079346.04213925,498
5481449,1085403.92003452,499
5481449,1092599.44576151,500
5481449,1100910.31262216,501
5481449,1110311.47535488,502
5481449,1120775.49780456,503
5481449,1132272.91275594,504
5481449,1144772.58429349,505
5481449,1187956.12796183,506
5481449,1204132.23359436,507
5481449,1221141.76011929,508
5508165,1231236.58779849,509
5508165,1201328.62349163,510
5508165,1171748.89648523,511
5508165,1142522.90109032,512
5508165,1113678.4863347,513
5508165,1085246.07838088,514
5508165,1057258.91751492,515
5508165,1029753.30783446,516
5508165,1002768.87647883,517
5468712,1290626.83626329,518
5468712,1280042.71536889,519
5468712,1270377.56756106,520
5468712,1261652.51296193,521
5468712,1253887.1763725,522
5468712,1247099.48560132,523
5468712,1241305.47860313,524
5468712,1236519.12388797,525
5468712,1232752.15861851,526
5468712,1230013.94858919,527
5468712,1228311.37386932,528
5468712,1227648.74330443,529
5468713,1227990.68111047,530
5480427,1217624.98886199,531
5480427,1201573.27974878,532
5480427,1186382.80837964,533
5480427,1172087.06064809,534
5480427,1158719.15310227,535
5480427,1146311.54670134,536
5509258,611615.264330933,537
5528688,589317.689545019,538
5528688,552631.223770313,539
5528688,516096.570188293,540
5528688,479748.413268266,541
5528688,443632.596081226,542
5528688,407810.851470589,543
5528688,372368.058307394,544
5528688,337423.652278736,545
