flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
SUR,LatinAmerica,12-24m,1958,197.599808065412,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1959,197.412491351854,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1960,197.252848933164,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1961,197.117349570888,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1962,197.051660450656,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1963,196.994681429967,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1964,196.963430407569,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1965,196.936560044996,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1966,196.926885565159,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1967,196.920781953111,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1968,196.915878344179,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1969,196.898589043625,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1970,196.896368558815,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1971,196.894507064532,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1972,196.892613773098,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1973,196.900038604348,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1974,196.898397495571,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1975,196.896426589066,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1976,196.894570755338,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1977,196.899702086669,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1978,196.90468657155,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1979,196.902731029102,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1980,196.906828234332,0.401257168582741,8,4,285.361258066651
SUR,LatinAmerica,12-24m,1981,196.917445478845,0.401257168582741,8,4,285.361258066651
