"eez_sovereign","length_class","s_transit","n","floor_kn","s_transit_floor"
"FJI","24-50m",4.78299053559516,4885,10,10
"MAR","24-50m",4.68380520741494,7163,10,10
"BEL","24-50m",4.3301241022784,2630,10,10
"ATG","24-50m",4.47295281697705,1780,10,10
"NCL","24-50m",5.67030342872438,2870,10,10
"GMB","24-50m",5.10347321423205,1610,10,10
"BEN","24-50m",4.26211260029156,888,10,10
"KEN","24-50m",5.26011008360333,766,10,10
"KAZ","24-50m",4.62800617098456,1369,10,10
"LTU","24-50m",5.75898738325274,2071,10,10
"GHA","24-50m",4.81866646602033,2501,10,10
"GUY","24-50m",5.65021959658839,1308,10,10
"CUB","24-50m",4.98699296502815,2055,10,10
"BRB","24-50m",4.97218170234626,1133,10,10
"GEO","24-50m",3.89517580719141,881,10,10
"PLW","24-50m",5.97984444507792,529,10,10
"EST","24-50m",3.82032595467812,4220,10,10
"REU","24-50m",6.34598810722887,925,10,10
"GNB","24-50m",4.01337910219448,2359,10,10
"LBR","24-50m",3.83163580222469,337,10,10
"HTI","24-50m",5.04396866804033,726,10,10
"GRD","24-50m",4.45238138503876,1169,10,10
"POL","24-50m",3.67145300630743,2477,10,10
"MYT","24-50m",7.00481392261954,834,10,10
"PAK","24-50m",2.96644351034904,3663,10,10
"CRI","24-50m",5.46337531599521,1825,10,10
"SLV","24-50m",5.61530231763899,331,10,10
"SLE","24-50m",3.55264155341177,947,10,10
"STP","24-50m",3.8396050567845,415,10,10
"GNQ","24-50m",3.7558666222445,277,10,10
"BLZ","24-50m",6.23179602877257,1368,10,10
"NIC","24-50m",6.27366222560473,874,10,10
"TLS","24-50m",3.6923043964433,548,10,10
"COK","24-50m",5.77617189200174,749,10,10
"VCT","24-50m",4.19620418899423,344,10,10
"KNA","24-50m",5.73557115470336,1053,10,10
"TUV","24-50m",5.92192002151096,369,10,10
"KHM","24-50m",3.54797312800201,1407,10,10
"BHR","24-50m",4.80193734486877,2033,10,10
"SDN","24-50m",4.31533428197468,253,10,10
"GUF","24-50m",3.87547581128821,993,10,10
"CIV","24-50m",5.02531922698945,1024,10,10
"COG","24-50m",3.79277759161576,569,10,10
"SYR","24-50m",3.6545404904528,153,10,10
"WLF","24-50m",6.03418112607941,124,10,10
"WSM","24-50m",6.65454816230201,530,10,10
"TGO","24-50m",6.13205724661569,152,10,10
"FSM","24-50m",6.52951934080049,574,10,10
"GTM","24-50m",4.46938781224192,148,10,10
"COD","24-50m",4.35183052632674,55,10,10
"NRU","24-50m",7.821,23,10,10
"DJI","24-50m",2.171,2,10,10
"High seas","Over 50m",12.2129736265129,75790,12,12.2129736265129
"KOR","Over 50m",11.1101404014196,304535,12,12
"HKG","Over 50m",8.4649524229027,42678,12,12
"USA","Over 50m",12.6467749905225,256838,12,12.6467749905225
"BRA","Over 50m",12.1763868573588,120899,12,12.1763868573588
"NOR","Over 50m",10.9930649023214,151533,12,12
"POL","Over 50m",10.1332608375392,4333,12,12
"CHN","Over 50m",9.9656502131747,1043523,12,12
"MYS","Over 50m",11.7605017706224,108070,12,12
"JPN","Over 50m",10.8917422470531,428558,12,12
"MEX","Over 50m",12.9243999563785,90505,12,12.9243999563785
"CAN","Over 50m",12.9927691733322,46841,12,12.9927691733322
"RUS","Over 50m",9.55398937157537,127190,12,12
"DZA","Over 50m",11.9108696289365,51373,12,12
"AUS","Over 50m",12.1970055119679,134075,12,12.1970055119679
"GBR","Over 50m",11.9039236944786,216726,12,12
"IDN","Over 50m",11.2957407611297,411101,12,12
"PHL","Over 50m",11.6180684180937,189014,12,12
"SGP","Over 50m",9.06347044835701,51101,12,12
"ZAF","Over 50m",12.0510963813139,80354,12,12.0510963813139
"FRA","Over 50m",12.144979156388,83174,12,12.144979156388
"VEN","Over 50m",12.5034716758852,18507,12,12.5034716758852
"PRT","Over 50m",12.0566039702119,72142,12,12.0566039702119
"MAR","Over 50m",12.4679678138222,34475,12,12.4679678138222
"ARG","Over 50m",10.6956859992607,18454,12,12
"IND","Over 50m",11.8704222114028,156608,12,12
"PNG","Over 50m",12.3865998115755,39403,12,12.3865998115755
"SWE","Over 50m",10.9244411721126,96095,12,12
"DNK","Over 50m",11.671226095255,65745,12,12
"TUR","Over 50m",10.6185383291308,179936,12,12
"YEM","Over 50m",12.2960660438071,73624,12,12.2960660438071
"SAU","Over 50m",11.7301774710754,119654,12,12
"ISL","Over 50m",9.85733280397878,9132,12,12
"PRK","Over 50m",10.1333183423552,9516,12,12
"VNM","Over 50m",11.8999353107466,130177,12,12
"CUB","Over 50m",12.8367009497549,28104,12,12.8367009497549
"TWN","Over 50m",12.1816782620563,83659,12,12.1816782620563
"NLD","Over 50m",11.4882617422679,101819,12,12
"ITA","Over 50m",12.6743406813635,185886,12,12.6743406813635
"ESP","Over 50m",12.2358143354857,218507,12,12.2358143354857
"PAK","Over 50m",12.4772344680484,11520,12,12.4772344680484
"CRI","Over 50m",13.3507829955948,4953,12,13.3507829955948
"CHL","Over 50m",11.1223766454007,29486,12,12
"IRN","Over 50m",11.5581686363706,175734,12,12
"NGA","Over 50m",10.1203506711908,13203,12,12
"IRL","Over 50m",11.6656789909752,10325,12,12
"ARE","Over 50m",7.5149870077613,51221,12,12
"OMN","Over 50m",12.0422463089371,51800,12,12.0422463089371
"SLB","Over 50m",12.60904874448,4661,12,12.60904874448
"DEU","Over 50m",11.4392354220001,51810,12,12
"PAN","Over 50m",12.8916534114168,24602,12,12.8916534114168
"HRV","Over 50m",13.0493167200133,28889,12,13.0493167200133
"DOM","Over 50m",12.8863318923881,14957,12,12.8863318923881
"BEN","Over 50m",11.0414301690375,4405,12,12
"MOZ","Over 50m",12.2264129886394,20279,12,12.2264129886394
"LVA","Over 50m",10.034542478904,10737,12,12
"BHS","Over 50m",13.3648506582358,45707,12,13.3648506582358
"STP","Over 50m",12.3405127039406,1393,12,12.3405127039406
"GRC","Over 50m",12.2539425831297,176711,12,12.2539425831297
"MMR","Over 50m",12.0199034322458,18146,12,12.0199034322458
"QAT","Over 50m",9.06288321728285,7610,12,12
"TON","Over 50m",11.8016886508119,757,12,12
"RAA","Over 50m",13.0760731412072,9154,12,13.0760731412072
"AGO","Over 50m",10.5477501046828,10624,12,12
"MRT","Over 50m",10.7236802859161,17771,12,12
"NAM","Over 50m",12.1908809867045,11960,12,12.1908809867045
"CMR","Over 50m",9.1282520543615,3886,12,12
"PLW","Over 50m",12.2545221811279,1291,12,12.2545221811279
"EGY","Over 50m",11.9901841198917,50259,12,12
"SLE","Over 50m",11.9769752116501,2949,12,12
"TTO","Over 50m",11.6476231656765,10244,12,12
"LBN","Over 50m",11.0332641533135,5710,12,12
"MDV","Over 50m",12.7615564229794,8808,12,12.7615564229794
"FIN","Over 50m",10.3002145418922,31106,12,12
"SDN","Over 50m",11.0530993527459,3322,12,12
"GHA","Over 50m",11.9146288258301,4516,12,12
"LKA","Over 50m",12.4223159644319,42146,12,12.4223159644319
"NZL","Over 50m",12.6825816259259,15825,12,12.6825816259259
"ECU","Over 50m",13.0611420015684,5928,12,13.0611420015684
"THA","Over 50m",11.3441329387427,31405,12,12
"COL","Over 50m",12.5001154672521,22533,12,12.5001154672521
"KAZ","Over 50m",9.39964469190931,6116,12,12
"DMA","Over 50m",12.6206065548594,1341,12,12.6206065548594
"PYF","Over 50m",12.1634707658765,2837,12,12.1634707658765
"URY","Over 50m",12.0294205150583,18676,12,12.0294205150583
"MDG","Over 50m",12.1732912620925,10828,12,12.1732912620925
"ATG","Over 50m",12.5990167067223,1801,12,12.5990167067223
"GEO","Over 50m",11.0586069499532,2111,12,12
"AZE","Over 50m",8.31781529295428,8358,12,12
"BLZ","Over 50m",12.9631058998241,3485,12,12.9631058998241
"GAB","Over 50m",11.2297466803877,4364,12,12
"BGR","Over 50m",10.2662954485437,13827,12,12
"GIN","Over 50m",9.98064338630433,8413,12,12
"CIV","Over 50m",12.3852381198221,5008,12,12.3852381198221
"ROU","Over 50m",10.0912706491598,5878,12,12
"BGD","Over 50m",10.7194177520699,4605,12,12
"KWT","Over 50m",8.0178372411677,6964,12,12
"FRO","Over 50m",10.3962578489353,4645,12,12
"FJI","Over 50m",11.3044639874647,2160,12,12
"GUY","Over 50m",11.1187986784119,8552,12,12
"SYC","Over 50m",12.2578702093249,6479,12,12.2578702093249
"JAM","Over 50m",12.8962062440013,15833,12,12.8962062440013
"NIC","Over 50m",13.2265151830057,3697,12,13.2265151830057
"TKM","Over 50m",8.70768128637939,7333,12,12
"CYP","Over 50m",11.3661496288303,19026,12,12
"COG","Over 50m",13.3680114281911,1319,12,13.3680114281911
"BRN","Over 50m",11.0868089841676,6381,12,12
"UKR","Over 50m",10.2420943224852,36635,12,12
"GMB","Over 50m",12.3049994601268,3218,12,12.3049994601268
"VCT","Over 50m",12.237398354178,1181,12,12.237398354178
"TZA","Over 50m",11.8742607941567,4053,12,12
"LBY","Over 50m",11.5450035787023,10411,12,12
"TUN","Over 50m",11.5143035874214,13052,12,12
"MUS","Over 50m",12.365823734405,13293,12,12.365823734405
"GLP","Over 50m",12.7527161226819,2476,12,12.7527161226819
"SEN","Over 50m",12.2856859978903,10124,12,12.2856859978903
"EST","Over 50m",10.3255393762605,12612,12,12
"ERI","Over 50m",11.0427381948428,547,12,12
"GNB","Over 50m",11.9469293813357,2754,12,12
